#,Company,Symbol,Weight
1,Nvidia,NVDA,-0.0731
2,Apple Inc.,AAPL,-0.0638
3,Microsoft,MSFT,-0.0491
4,Amazon,AMZN,-0.0355
5,Alphabet Inc. (Class A),GOOGL,-0.0317
6,Alphabet Inc. (Class C),GOOG,-0.0296
7,Meta Platforms,META,-0.027
8,Broadcom,AVGO,-0.0258
9,"Tesla, Inc.",TSLA,-0.0253
10,Berkshire Hathaway,BRK-B,-0.0171
11,Walmart,WMT,-0.0161
12,Lilly (Eli),LLY,-0.0147
13,JPMorgan Chase,JPM,-0.0135
14,ExxonMobil,XOM,-0.01
15,Visa Inc.,V,-0.01
16,Johnson & Johnson,JNJ,-0.0092
17,Mastercard,MA,-0.0077
18,Oracle Corporation,ORCL,-0.0074
19,Costco,COST,-0.0069
20,Micron Technology,MU,-0.0067
21,AbbVie,ABBV,-0.0063
22,Bank of America,BAC,-0.0062
23,Home Depot (The),HD,-0.0062
24,Procter & Gamble,PG,-0.0059
25,Chevron Corporation,CVX,-0.0057
26,Advanced Micro Devices,AMD,-0.0056
27,Netflix,NFLX,-0.0055
28,Caterpillar Inc.,CAT,-0.0055
29,Cisco,CSCO,-0.0055
30,GE Aerospace,GE,-0.0053
31,Coca-Cola Company (The),KO,-0.0053
33,Merck & Co.,MRK,-0.0046
34,Philip Morris International,PM,-0.0045
35,Lam Research,LRCX,-0.0045
36,Goldman Sachs,GS,-0.0045
37,Wells Fargo,WFC,-0.0044
38,Morgan Stanley,MS,-0.0044
39,IBM,IBM,-0.0043
40,Applied Materials,AMAT,-0.0042
41,RTX Corporation,RTX,-0.0042
42,UnitedHealth Group,UNH,-0.004
43,American Express,AXP,-0.0039
44,Intel,INTC,-0.0038
45,McDonald's,MCD,-0.0037
46,PepsiCo,PEP,-0.0036
47,T-Mobile US,TMUS,-0.0035
48,Linde plc,LIN,-0.0034
50,Citigroup,C,-0.0033
51,Thermo Fisher Scientific,TMO,-0.0033
52,Texas Instruments,TXN,-0.0032
53,Verizon,VZ,-0.0032
54,Amgen,AMGN,-0.0032
55,Abbott Laboratories,ABT,-0.0031
56,Walt Disney Company (The),DIS,-0.0031
57,AT&T,T,-0.0031
58,NextEra Energy,NEE,-0.003
59,Boeing,BA,-0.003
60,KLA Corporation,KLAC,-0.003
61,Gilead Sciences,GILD,-0.0029
62,Salesforce,CRM,-0.0029
63,Arista Networks,ANET,-0.0029
64,Amphenol,APH,-0.0028
65,Intuitive Surgical,ISRG,-0.0028
66,Charles Schwab Corporation,SCHW,-0.0028
67,TJX Companies,TJX,-0.0027
68,BlackRock,BLK,-0.0027
69,Deere & Company,DE,-0.0025
70,Lowe's,LOW,-0.0025
71,Analog Devices,ADI,-0.0025
73,Pfizer,PFE,-0.0025
74,Danaher Corporation,DHR,-0.0025
75,Honeywell,HON,-0.0025
76,Union Pacific Corporation,UNP,-0.0025
77,Uber,UBER,-0.0024
78,Qualcomm,QCOM,-0.0024
79,Accenture,ACN,-0.0024
80,Eaton Corporation,ETN,-0.0023
81,Lockheed Martin,LMT,-0.0023
82,Booking Holdings,BKNG,-0.0022
83,Stryker Corporation,SYK,-0.0022
84,Welltower,WELL,-0.0022
85,Capital One,COF,-0.0022
86,ConocoPhillips,COP,-0.0021
87,Newmont,NEM,-0.0021
88,Medtronic,MDT,-0.0021
89,Prologis,PLD,-0.0021
90,Chubb Limited,CB,-0.002
91,Parker Hannifin,PH,-0.002
92,Bristol Myers Squibb,BMY,-0.002
93,S&P Global,SPGI,-0.0019
94,Vertex Pharmaceuticals,VRTX,-0.0019
95,Progressive Corporation,PGR,-0.0019
96,Intuit,INTU,-0.0019
97,Comcast,CMCSA,-0.0018
98,Palo Alto Networks,PANW,-0.0018
99,McKesson Corporation,MCK,-0.0018
100,HCA Healthcare,HCA,-0.0018
101,Starbucks,SBUX,-0.0018
102,ServiceNow,NOW,-0.0018
103,Corning Inc.,GLW,-0.0018
104,Boston Scientific,BSX,-0.0018
105,CME Group,CME,-0.0017
106,Adobe Inc.,ADBE,-0.0017
107,Altria,MO,-0.0017
108,CrowdStrike,CRWD,-0.0017
109,Blackstone Inc.,BX,-0.0017
110,Trane Technologies,TT,-0.0016
111,United Parcel Service,UPS,-0.0016
112,Southern Company,SO,-0.0016
114,Northrop Grumman,NOC,-0.0016
115,General Dynamics,GD,-0.0015
116,Marriott International,MAR,-0.0015
117,Duke Energy,DUK,-0.0015
118,PNC Financial Services,PNC,-0.0015
119,KKR,KKR,-0.0015
120,CVS Health,CVS,-0.0015
121,Intercontinental Exchange,ICE,-0.0015
122,Royal Caribbean Group,RCL,-0.0015
123,"Nike, Inc.",NKE,-0.0015
124,Waste Management,WM,-0.0015
125,U.S. Bancorp,USB,-0.0015
126,Emerson Electric,EMR,-0.0015
127,3M,MMM,-0.0014
128,Sherwin-Williams,SHW,-0.0014
129,Howmet Aerospace,HWM,-0.0014
130,Freeport-McMoRan,FCX,-0.0014
131,Automatic Data Processing,ADP,-0.0014
132,Western Digital,WDC,-0.0014
133,Seagate Technology,STX,-0.0014
134,FedEx,FDX,-0.0014
135,CRH plc,CRH,-0.0014
136,Johnson Controls,JCI,-0.0014
137,Illinois Tool Works,ITW,-0.0014
138,BNY Mellon,BK,-0.0014
139,Ecolab,ECL,-0.0014
140,"Marsh & McLennan Companies, Inc.",MRSH,-0.0013
141,Equinix,EQIX,-0.0013
142,Williams Companies,WMB,-0.0013
143,Synopsys,SNPS,-0.0013
144,American Tower,AMT,-0.0013
145,Dell Technologies,DELL,-0.0013
147,Cadence Design Systems,CDNS,-0.0013
148,Cummins,CMI,-0.0013
149,Regeneron Pharmaceuticals,REGN,-0.0013
151,Cintas,CTAS,-0.0013
152,Monster Beverage,MNST,-0.0012
153,Mondelez International,MDLZ,-0.0012
154,O'Reilly Auto Parts,ORLY,-0.0012
